image_url,movie_cast,movie_description,movie_director,movie_hero,movie_rating,movie_title,movie_votes,movie_year,rank
"https://images-na.ssl-images-amazon.com/images/M/MV5BMTUyMTE0ODcxNF5BMl5BanBnXkFtZTgwODE4NDQzNTE@._V1._SY209_CR2,0,140,209_.jpg"," Tom Hardy, Charlize Theron, Nicholas Hoult, ZoÃ« Kravitz","A woman rebels against a tyrannical ruler in postapocalyptic Australia in search for her home-land with the help of a group of female prisoners, a psychotic worshipper, and a drifter named Max. (120 mins.)", George Miller, Tom Hardy,8.1,Mad Max: Fury Road,655284.0,(2015),44
"https://images-na.ssl-images-amazon.com/images/M/MV5BMTczNDk4NTQ0OV5BMl5BanBnXkFtZTcwNDAxMDgxNw@@._V1._SY209_CR0,0,140,209_.jpg"," Daniel Craig, Rooney Mara, Christopher Plummer, Stellan SkarsgÃ¥rd","Journalist Mikael Blomkvist is aided in his search for a woman who has been missing for forty years by Lisbeth Salander, a young computer hacker. (158 mins.)", David Fincher, Daniel Craig,7.8,The Girl with the Dragon Tattoo,354171.0,(2011),45
"https://images-na.ssl-images-amazon.com/images/M/MV5BZTcyNjk1MjgtOWI3Mi00YzQwLWI5MTktMzY4ZmI2NDAyNzYzXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1._SY209_CR1,0,140,209_.jpg"," Guy Pearce, Carrie-Anne Moss, Joe Pantoliano, Mark Boone Junior",A man juggles searching for his wife's murderer and keeping his short-term memory loss from being an obstacle. (113 mins.), Christopher Nolan, Guy Pearce,8.5,Memento,923229.0,(2000),46
"https://images-na.ssl-images-amazon.com/images/M/MV5BNjE5MzYwMzYxMF5BMl5BanBnXkFtZTcwOTk4MTk0OQ@@._V1._SY209_CR0,0,140,209_.jpg"," Sandra Bullock, George Clooney, Ed Harris, Orto Ignatiussen",Two astronauts work together to survive after an accident which leaves them alone in space. (91 mins.), Alfonso CuarÃ³n, Sandra Bullock,7.8,Gravity,634375.0,(2013),47
"https://images-na.ssl-images-amazon.com/images/M/MV5BMDI5ZWJhOWItYTlhOC00YWNhLTlkNzctNDU5YTI1M2E1MWZhXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1._SY209_CR0,0,140,209_.jpg"," Daniel Craig, Eva Green, Judi Dench, Jeffrey Wright","Armed with a license to kill, Secret Agent James Bond sets out on his first mission as 007 and must defeat a private banker to terrorists in a high stakes game of poker at Casino Royale, Montenegro but things are not what they seem. (144 mins.)", Martin Campbell, Daniel Craig,8.0,Casino Royale,501849.0,(2006),48
"https://images-na.ssl-images-amazon.com/images/M/MV5BNGUxYWM3M2MtMGM3Mi00ZmRiLWE0NGQtZjE5ODI2OTJhNTU0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1._SY209_CR1,0,140,209_.jpg"," James Stewart, Grace Kelly, Wendell Corey, Thelma Ritter",A wheelchair-bound photographer spies on his neighbours from his apartment window and becomes convinced one of them has committed murder. (112 mins.), Alfred Hitchcock, James Stewart,8.5,Rear Window,347789.0,(1954),49
"https://images-na.ssl-images-amazon.com/images/M/MV5BMTcwNzYzMzMwMF5BMl5BanBnXkFtZTcwMzMzODczMQ@@._V1._SY209_CR0,0,140,209_.jpg"," Eric Bana, Daniel Craig, Marie-JosÃ©e Croze, CiarÃ¡n Hinds","Based on the true story of the Black September aftermath, about the five men chosen to eliminate the ones responsible for that fateful day. (164 mins.)", Steven Spielberg, Eric Bana,7.6,Munich,185669.0,(2005),50
"https://images-na.ssl-images-amazon.com/images/M/MV5BM2M2MDJhMDgtMmJkYy00MTgzLTkyZTktODM5NzE1MWUyNDA4XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1._SY209_CR3,0,140,209_.jpg"," Keanu Reeves, Al Pacino, Charlize Theron, Jeffrey Jones",An exceptionally adept Florida lawyer is offered a job to work in New York City for a high-end law firm with a high-end boss - the biggest opportunity of his career to date. (144 mins.), Taylor Hackford, Keanu Reeves,7.5,The Devil's Advocate,277748.0,(1997),51
"https://images-na.ssl-images-amazon.com/images/M/MV5BMzJmNjEzZDYtNGViZC00MTBiLTllZjYtOTY1YjBjZmMyODg0XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1._SX140_CR0,0,140,209_.jpg"," Anthony Perkins, Janet Leigh, Vera Miles, John Gavin","A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother. (109 mins.)", Alfred Hitchcock, Anthony Perkins,8.5,Psycho,465830.0,(1960),52
"https://images-na.ssl-images-amazon.com/images/M/MV5BYTVjYWJmMWQtYWU4Ni00MWY3LWI2YmMtNTI5MDE0MWVmMmEzL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1._SX140_CR0,0,140,209_.jpg"," Kevin Costner, Sean Connery, Robert De Niro, Charles Martin Smith","Federal Agent Eliot Ness sets out to stop Al Capone; because of rampant corruption, he assembles a small, hand-picked team. (119 mins.)", Brian De Palma, Kevin Costner,7.9,The Untouchables,233079.0,(1987),53
"https://images-na.ssl-images-amazon.com/images/M/MV5BYjgwY2E1N2QtNDJkMi00YzE4LThiYTItYWI5YmE4NWMzMGFhXkEyXkFqcGdeQXVyMjU3OTA4NzQ@._V1._SX140_CR0,0,140,209_.jpg"," Ben Affleck, Rosamund Pike, Neil Patrick Harris, Tyler Perry","With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent. (149 mins.)", David Fincher, Ben Affleck,8.1,Gone Girl,654549.0,(2014),54
"https://images-na.ssl-images-amazon.com/images/M/MV5BYTE4ODEwZDUtNDFjOC00NjAxLWEzYTQtYTI1NGVmZmFlNjdiL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1._SX140_CR0,0,140,209_.jpg"," James Stewart, Kim Novak, Barbara Bel Geddes, Tom Helmore","A San Francisco detective suffering from acrophobia investigates the strange activities of an old friend's wife, all the while becoming dangerously obsessed with her. (128 mins.)", Alfred Hitchcock, James Stewart,8.4,Vertigo,276342.0,(1958),55
"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQzNzExMDg3Ml5BMl5BanBnXkFtZTgwODU1NzEzMDE@._V1._SY209_CR0,0,140,209_.jpg"," Tom Hanks, Barkhad Abdi, Barkhad Abdirahman, Catherine Keener","The true story of Captain Richard Phillips and the 2009 hijacking by Somali pirates of the U.S.-flagged MV Maersk Alabama, the first American cargo ship to be hijacked in two hundred years. (134 mins.)", Paul Greengrass, Tom Hanks,7.8,Captain Phillips,352459.0,(2013),56
"https://images-na.ssl-images-amazon.com/images/M/MV5BMTExMzU0ODcxNDheQTJeQWpwZ15BbWU4MDE1OTI4MzAy._V1._SX140_CR0,0,140,209_.jpg"," Amy Adams, Jeremy Renner, Forest Whitaker, Michael Stuhlbarg","When twelve mysterious spacecraft appear around the world, linguistics professor Louise Banks is tasked with interpreting the language of the apparent alien visitors. (116 mins.)", Denis Villeneuve, Amy Adams,8.0,Arrival,381252.0,(2016),57
